"species","scenario","label","sim","gamma_true","epsilon_true","psi1_true","p_true","converged","boundary","gamma_hat","epsilon_hat","psi1_hat","p_hat","aic","bias_gamma","bias_epsilon","bias_p","rel_bias_gamma","rel_bias_epsilon","ci_covers_gamma","ci_covers_epsilon","ratio_hat","ratio_true","regime_hat","regime_true","regime_correct","underest_10x","underest_100x"
"otitar","A","Empirical",52,4.54840009386186e-05,0.222390981652645,0.000307932595294111,0.208393851119266,TRUE,TRUE,1.82896504635715e-149,1,4.1032188122099e-14,1.98063580931207e-56,1462.53094096291,-4.54840009386186e-05,0.777609018347355,-0.208393851119266,-1,3.49658521478138,FALSE,FALSE,1e+20,4889.43314271682,"trap","trap",TRUE,TRUE,TRUE
"otitar","A","Empirical",53,4.54840009386186e-05,0.222390981652645,0.000307932595294111,0.208393851119266,TRUE,TRUE,1.72983231950159e-30,0.455409115790141,0.0032090009548284,0.190810622012097,64.5949156543433,-4.54840009386186e-05,0.233018134137496,-0.0175832291071687,-1,1.04778589673861,FALSE,FALSE,45540911579014078464,4889.43314271682,"trap","trap",TRUE,TRUE,TRUE
"otitar","A","Empirical",54,4.54840009386186e-05,0.222390981652645,0.000307932595294111,0.208393851119266,TRUE,FALSE,0.000248512461349828,1,3.75542080659797e-14,0.22503800605315,35.1155565304308,0.000203028460411209,0.777609018347355,0.0166441549338847,4.46373353753992,3.49658521478138,FALSE,FALSE,4023.9430834509,4889.43314271682,"trap","trap",TRUE,FALSE,FALSE
"otitar","A","Empirical",55,4.54840009386186e-05,0.222390981652645,0.000307932595294111,0.208393851119266,TRUE,TRUE,1.03758643293765e-30,3.41321577853322e-05,0.000467460402656476,0.13481582240976,59.5195149418641,-4.54840009386186e-05,-0.22235684949486,-0.0735780287095056,-1,-0.999846521843954,FALSE,FALSE,3413215778533218,4889.43314271682,"trap","trap",TRUE,TRUE,TRUE
"otitar","A","Empirical",56,4.54840009386186e-05,0.222390981652645,0.000307932595294111,0.208393851119266,TRUE,TRUE,0,1,1.1631169533469e-67,1.71385783978154e-279,8,-4.54840009386186e-05,0.777609018347355,-0.208393851119266,-1,3.49658521478138,FALSE,FALSE,1e+20,4889.43314271682,"trap","trap",TRUE,TRUE,TRUE
"otitar","A","Empirical",57,4.54840009386186e-05,0.222390981652645,0.000307932595294111,0.208393851119266,TRUE,FALSE,0.56802979702001,1,3.57048387299029e-14,0.00017791479206592,50.4823058354531,0.567984313019072,0.777609018347355,-0.2082159363272,12487.5626879345,3.49658521478138,FALSE,FALSE,1.76047102677744,4889.43314271682,"mild_decline","trap",FALSE,FALSE,FALSE
"otitar","A","Empirical",58,4.54840009386186e-05,0.222390981652645,0.000307932595294111,0.208393851119266,TRUE,FALSE,0.000741324997918357,1,2.76164035589223e-06,0.120771619687433,50.315318507139,0.000695840996979738,0.777609018347355,-0.0876222314318326,15.2985881325345,3.49658521478138,FALSE,FALSE,1348.93603049675,4889.43314271682,"trap","trap",TRUE,FALSE,FALSE
"otitar","A","Empirical",59,4.54840009386186e-05,0.222390981652645,0.000307932595294111,0.208393851119266,TRUE,TRUE,3.44572253662782e-163,1,0.999999999999982,0.00116754217212882,39.0090812771087,-4.54840009386186e-05,0.777609018347355,-0.207226308947137,-1,3.49658521478138,FALSE,FALSE,1e+20,4889.43314271682,"trap","trap",TRUE,TRUE,TRUE
"otitar","A","Empirical",60,4.54840009386186e-05,0.222390981652645,0.000307932595294111,0.208393851119266,TRUE,FALSE,0.000447766922813171,1,4.035411481812e-10,0.275703507021122,58.3136983852741,0.000402282921874553,0.777609018347355,0.0673096559018565,8.84449286722686,3.49658521478138,FALSE,FALSE,2233.30475980077,4889.43314271682,"trap","trap",TRUE,FALSE,FALSE
"otitar","A","Empirical",61,4.54840009386186e-05,0.222390981652645,0.000307932595294111,0.208393851119266,TRUE,TRUE,0,1,1.1631169533469e-67,1.71385783978154e-279,8,-4.54840009386186e-05,0.777609018347355,-0.208393851119266,-1,3.49658521478138,FALSE,FALSE,1e+20,4889.43314271682,"trap","trap",TRUE,TRUE,TRUE
